id,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,price,review_scores_location
52403053,t,Lower East Side,Manhattan,40.72111,-73.99171,Entire home/apt,2,247,4.90
52403339,t,Washington Heights,Manhattan,40.85002,-73.93937,Entire home/apt,10,332,4.73
52403401,t,Lower East Side,Manhattan,40.72285,-73.99268,Entire home/apt,2,210,4.93
52403404,t,Lower East Side,Manhattan,40.7231,-73.99276,Entire home/apt,2,231,4.88
52403428,t,Maspeth,Queens,40.71541,-73.91218,Entire home/apt,2,110,4.53
52403473,f,Bedford-Stuyvesant,Brooklyn,40.68692,-73.95577,Private room,2,85,5.00
52403596,t,Lower East Side,Manhattan,40.72154,-73.99328,Entire home/apt,2,210,4.84
52404169,f,Hell's Kitchen,Manhattan,40.75707,-73.99293,Entire home/apt,2,289,5.00
52404207,f,Hell's Kitchen,Manhattan,40.75798,-73.99331,Entire home/apt,2,240,4.67
52404336,t,Lower East Side,Manhattan,40.72283,-73.99283,Entire home/apt,2,210,4.65
52404485,f,East Flatbush,Brooklyn,40.63727,-73.94652,Entire home/apt,1,75,5.00
52404588,f,College Point,Queens,40.77961,-73.84254,Entire home/apt,4,98,4.53
52405277,f,East New York,Brooklyn,40.66996,-73.89076,Private room,2,75,4.60
52406162,t,Lower East Side,Manhattan,40.72133,-73.99178,Entire home/apt,2,210,4.95
52406468,f,Bedford-Stuyvesant,Brooklyn,40.68863,-73.93278,Private room,1,36,4.72
52406860,f,Bushwick,Brooklyn,40.69045,-73.90434,Private room,2,87,4.60
52407038,t,Williamsburg,Brooklyn,40.71059,-73.95927,Private room,2,141,4.92
52407100,f,Kingsbridge,Bronx,40.88361,-73.89091,Private room,1,70,4.87
52407383,f,Prospect Heights,Brooklyn,40.68087,-73.97462,Entire home/apt,16,2100,5.00
52408105,f,Financial District,Manhattan,40.70692,-74.01178,Entire home/apt,2,287,0.00
52408430,f,Ridgewood,Queens,40.70807,-73.91332,Entire home/apt,5,212,5.00
52408668,t,Washington Heights,Manhattan,40.85932,-73.92557,Private room,2,73,4.80
52408696,t,Springfield Gardens,Queens,40.66539,-73.75079,Private room,2,94,4.86
52408941,f,Flatlands,Brooklyn,40.63038,-73.92098,Entire home/apt,2,125,4.80
52410593,f,Harlem,Manhattan,40.81655,-73.94539,Entire home/apt,2,105,4.69
52411806,f,Bushwick,Brooklyn,40.701,-73.91855,Private room,2,87,4.78
52414620,f,Financial District,Manhattan,40.70395,-74.00813,Entire home/apt,6,415,4.68
52417096,f,Kips Bay,Manhattan,40.73951,-73.98182,Entire home/apt,3,150,4.33
52417450,t,Upper West Side,Manhattan,40.77789,-73.97678,Entire home/apt,4,430,5.00
52417818,f,Hell's Kitchen,Manhattan,40.76458,-73.99269,Private room,2,250,0.00
52419044,f,Rego Park,Queens,40.72536,-73.86863,Entire home/apt,4,185,5.00
52420693,f,Prospect-Lefferts Gardens,Brooklyn,40.66126,-73.94183,Private room,1,70,4.73
52421251,f,Jamaica,Queens,40.69515,-73.79574,Private room,2,60,5.00
52421795,f,Bedford-Stuyvesant,Brooklyn,40.68409,-73.94307,Private room,1,64,4.50
52421812,t,Crown Heights,Brooklyn,40.67242,-73.95389,Entire home/apt,5,217,4.81
52422673,t,Crown Heights,Brooklyn,40.67202,-73.95385,Private room,2,112,4.65
52422930,f,Upper East Side,Manhattan,40.77924,-73.948,Entire home/apt,5,500,5.00
52423204,t,Kensington,Brooklyn,40.6457,-73.97691,Private room,2,89,5.00
52423543,f,Theater District,Manhattan,40.7637,-73.98449,Private room,2,1800,5.00
52423663,f,Theater District,Manhattan,40.76213,-73.9829,Private room,4,2500,0.00
52424984,f,Central Park,Manhattan,40.76816,-73.98119,Entire home/apt,6,1621,5.00
52426248,f,East Flatbush,Brooklyn,40.64632,-73.94887,Entire home/apt,3,136,5.00
52426704,f,Ditmars Steinway,Queens,40.77452,-73.91169,Private room,2,70,4.58
52427120,f,Hell's Kitchen,Manhattan,40.76017,-73.9984,Entire home/apt,4,249,0.00
52427297,t,Canarsie,Brooklyn,40.6433,-73.89146,Entire home/apt,6,150,4.63
52427312,f,Harlem,Manhattan,40.81613,-73.93566,Entire home/apt,5,210,4.90
52427607,f,Flatbush,Brooklyn,40.64005,-73.96522,Entire home/apt,2,99,5.00
52427990,f,Longwood,Bronx,40.81463,-73.90229,Private room,1,33,5.00
52429327,f,Hell's Kitchen,Manhattan,40.75811,-73.98995,Private room,2,120,4.92
52430029,t,East Elmhurst,Queens,40.76533,-73.8648,Entire home/apt,6,175,4.75
52433979,f,Bedford-Stuyvesant,Brooklyn,40.69331,-73.94439,Entire home/apt,4,179,5.00
52434984,t,College Point,Queens,40.78142,-73.84293,Private room,1,49,4.80
52435248,f,Midtown,Manhattan,40.75016,-73.98316,Entire home/apt,2,70,5.00
52436688,t,Lower East Side,Manhattan,40.72075,-73.992,Entire home/apt,2,210,5.00
52436909,t,Lower East Side,Manhattan,40.7213,-73.99319,Entire home/apt,2,210,4.85
52437036,f,Flatlands,Brooklyn,40.62939,-73.92226,Shared room,1,35,4.36
52437091,t,Lower East Side,Manhattan,40.72099,-73.9935,Entire home/apt,2,193,4.87
52437505,f,Bedford-Stuyvesant,Brooklyn,40.68432,-73.9329,Private room,1,80,0.00
52437523,t,Nolita,Manhattan,40.7223,-73.99355,Entire home/apt,2,193,4.89
52437728,t,Nolita,Manhattan,40.72263,-73.99337,Entire home/apt,2,193,5.00
52438883,f,Van Cortlandt Park,Bronx,40.91822,-73.88469,Entire home/apt,5,109,4.50
52439067,f,Williamsburg,Brooklyn,40.71854,-73.96353,Entire home/apt,6,221,0.00
52440701,t,Lower East Side,Manhattan,40.72301,-73.992,Entire home/apt,2,194,4.85
52440803,t,Lower East Side,Manhattan,40.72101,-73.9936,Entire home/apt,2,193,4.69
52440958,t,Bushwick,Brooklyn,40.69411,-73.92518,Entire home/apt,5,325,4.85
52441110,t,Nolita,Manhattan,40.72261,-73.99346,Entire home/apt,2,193,4.91
52441208,t,Lower East Side,Manhattan,40.72159,-73.99156,Entire home/apt,2,193,4.95
52441335,f,Prospect-Lefferts Gardens,Brooklyn,40.66271,-73.96237,Private room,2,55,4.83
52441339,t,Nolita,Manhattan,40.72241,-73.99366,Entire home/apt,2,198,4.91
52442190,f,Prospect-Lefferts Gardens,Brooklyn,40.6571,-73.94646,Entire home/apt,2,65,0.00
52442468,f,Gramercy,Manhattan,40.73381,-73.98512,Entire home/apt,2,95,5.00
52444000,t,Astoria,Queens,40.77024,-73.9247,Private room,2,75,4.81
52444135,t,Astoria,Queens,40.77092,-73.92481,Private room,4,72,4.70
52444758,f,Upper West Side,Manhattan,40.79764,-73.9701,Private room,2,55,5.00
52444890,f,Rosedale,Queens,40.66185,-73.73826,Entire home/apt,2,80,5.00
52451077,f,Allerton,Bronx,40.8634,-73.86801,Private room,3,175,5.00
52451281,f,Cypress Hills,Brooklyn,40.68209,-73.88481,Private room,2,128,4.86
52453861,f,Lower East Side,Manhattan,40.721771,-73.987381,Entire home/apt,4,450,5.00
52454467,t,Cypress Hills,Brooklyn,40.679756,-73.873032,Entire home/apt,4,93,4.63
52454822,f,West Village,Manhattan,40.73916,-74.00172,Private room,1,275,5.00
52455596,f,Chinatown,Manhattan,40.71429,-73.99931,Entire home/apt,3,269,5.00
52455685,f,Crown Heights,Brooklyn,40.66578,-73.95239,Entire home/apt,4,140,4.50
52456544,f,Fort Greene,Brooklyn,40.68712,-73.97911,Entire home/apt,4,175,5.00
52459048,f,East New York,Brooklyn,40.671871,-73.89196,Entire home/apt,9,253,4.50
52460415,f,Hell's Kitchen,Manhattan,40.75698,-73.99305,Private room,2,126,4.93
52465376,f,Bedford-Stuyvesant,Brooklyn,40.6986,-73.95237,Entire home/apt,2,250,0.00
52466688,t,Glendale,Queens,40.69272,-73.89712,Entire home/apt,7,356,4.63
52467737,f,Chinatown,Manhattan,40.71537,-73.99383,Entire home/apt,3,135,4.90
52468449,f,Richmond Hill,Queens,40.68537,-73.81842,Private room,2,63,3.00
52469179,f,Midtown,Manhattan,40.74834,-73.98818,Entire home/apt,5,242,4.50
52469947,f,Ellis Island,Manhattan,40.71924,-74.04375,Entire home/apt,5,130,5.00
52470416,f,Bushwick,Brooklyn,40.70521,-73.92613,Entire home/apt,3,246,5.00
52471756,f,Shore Acres,Staten Island,40.606396,-74.067902,Entire home/apt,2,80,4.67
52472350,f,Castleton Corners,Staten Island,40.6154,-74.11354,Private room,2,79,5.00
52472708,f,Williamsburg,Brooklyn,40.71211,-73.95353,Entire home/apt,5,350,4.00
52473142,t,Park Slope,Brooklyn,40.67161,-73.97816,Entire home/apt,2,208,4.88
52478653,f,Park Slope,Brooklyn,40.68025,-73.97622,Entire home/apt,2,338,5.00
52481960,f,Upper East Side,Manhattan,40.778893,-73.953491,Entire home/apt,4,709,0.00
52486579,f,Ditmars Steinway,Queens,40.77356,-73.91638,Private room,2,73,4.00
52487784,f,West Brighton,Staten Island,40.63042,-74.10299,Entire home/apt,4,99,4.75
52489298,f,Harlem,Manhattan,40.80566,-73.94979,Entire home/apt,4,230,4.46
52489302,f,Kips Bay,Manhattan,40.74441,-73.97651,Entire home/apt,3,115,0.00
52489907,f,Kips Bay,Manhattan,40.74444,-73.97687,Entire home/apt,2,115,0.00
52490036,f,Williamsburg,Brooklyn,40.71206,-73.95286,Entire home/apt,5,280,4.88
52490300,f,Kips Bay,Manhattan,40.74424,-73.97643,Entire home/apt,2,115,0.00
52490684,f,Cypress Hills,Brooklyn,40.68556,-73.87445,Entire home/apt,4,164,3.80
52490929,f,Kips Bay,Manhattan,40.7444,-73.97852,Entire home/apt,2,115,0.00
52491515,t,Lower East Side,Manhattan,40.71733,-73.99111,Entire home/apt,4,150,5.00
52492041,t,Ridgewood,Queens,40.69866,-73.90693,Private room,2,72,4.88
52492125,f,Clinton Hill,Brooklyn,40.69209,-73.96126,Private room,1,95,5.00
52492455,f,Crown Heights,Brooklyn,40.67709,-73.94381,Entire home/apt,2,160,4.40
52492995,f,Bedford-Stuyvesant,Brooklyn,40.67857,-73.91423,Entire home/apt,2,120,0.00
52493063,f,Kips Bay,Manhattan,40.74122635,-73.97983371,Entire home/apt,2,250,5.00
52494046,f,Grymes Hill,Staten Island,40.61944,-74.08612,Private room,1,79,4.80
52494665,f,Hell's Kitchen,Manhattan,40.7543,-73.99763,Private room,1,106,5.00
52495224,f,Bushwick,Brooklyn,40.70049,-73.92773,Private room,1,50,4.50
52496006,t,Bedford-Stuyvesant,Brooklyn,40.69071,-73.93449,Private room,1,90,4.80
52496420,t,Upper East Side,Manhattan,40.77864,-73.95103,Entire home/apt,2,380,0.00
52507194,f,Fordham,Bronx,40.85508,-73.90143,Private room,4,75,4.79
52508207,f,Crown Heights,Brooklyn,40.67338,-73.94499,Entire home/apt,1,52,3.00
52508237,t,East Village,Manhattan,40.73026,-73.99029,Entire home/apt,4,427,4.94
52508681,t,Harlem,Manhattan,40.82291,-73.94939,Private room,2,98,4.10
52508754,f,Maspeth,Queens,40.73521,-73.89534,Private room,2,50,5.00
52509007,f,Maspeth,Queens,40.73709,-73.89637,Entire home/apt,6,138,4.73
52510470,f,Midtown,Manhattan,40.74762,-73.98873,Entire home/apt,4,233,5.00
52511469,f,Harlem,Manhattan,40.81638,-73.9378,Entire home/apt,4,163,4.83
52514131,f,Bushwick,Brooklyn,40.69941,-73.93896,Private room,1,38,0.00
52514819,f,East Village,Manhattan,40.72654,-73.98693,Private room,2,130,4.86
52515757,f,East Village,Manhattan,40.72957,-73.9797,Entire home/apt,4,424,4.77
52515771,f,Bedford-Stuyvesant,Brooklyn,40.68893,-73.93688,Entire home/apt,4,135,4.65
52516129,f,East Village,Manhattan,40.72845,-73.9866,Private room,2,140,4.78
52516409,t,East Harlem,Manhattan,40.80052,-73.93531,Entire home/apt,4,156,4.43
52517051,f,East Village,Manhattan,40.72648,-73.98814,Private room,10,450,5.00
52517517,f,Harlem,Manhattan,40.81813,-73.94368,Entire home/apt,4,116,0.00
52517796,f,Maspeth,Queens,40.73509,-73.89535,Entire home/apt,5,162,4.85
52518092,f,Ditmars Steinway,Queens,40.77437,-73.9151,Entire home/apt,3,168,4.77
52519097,t,Crown Heights,Brooklyn,40.67459,-73.96119,Private room,4,156,4.97
52519640,f,East Village,Manhattan,40.72636,-73.98673,Shared room,16,650,5.00
52519928,f,Hell's Kitchen,Manhattan,40.76534,-73.99305,Entire home/apt,2,120,0.00
52525014,f,Crown Heights,Brooklyn,40.66571,-73.95009,Private room,1,55,4.83
52527112,f,Hell's Kitchen,Manhattan,40.75287,-73.99465,Private room,2,1000,0.00
52527249,f,Crown Heights,Brooklyn,40.66441,-73.95339,Entire home/apt,4,120,4.67
52532860,f,Jackson Heights,Queens,40.74967,-73.87056,Private room,2,66,4.76
52533092,f,Lower East Side,Manhattan,40.71918,-73.98897,Private room,12,1721,4.67
52533102,f,Lower East Side,Manhattan,40.72059,-73.98697,Private room,4,920,5.00
52533165,f,Bedford-Stuyvesant,Brooklyn,40.6865,-73.9288,Entire home/apt,6,157,4.76
52533564,f,Lower East Side,Manhattan,40.72103,-73.98874,Private room,12,1786,0.00
52533573,f,Lower East Side,Manhattan,40.71908,-73.98687,Private room,12,1881,0.00
52533590,f,Lower East Side,Manhattan,40.72084,-73.98722,Private room,4,912,0.00
52533623,f,Lower East Side,Manhattan,40.71948,-73.98696,Private room,4,920,0.00
52533655,f,Lower East Side,Manhattan,40.7189,-73.98751,Private room,4,1165,0.00
52533687,f,Lower East Side,Manhattan,40.72051,-73.98903,Private room,4,1154,0.00
52533706,f,Lower East Side,Manhattan,40.71941,-73.98705,Private room,4,1154,0.00
52533728,f,Bedford-Stuyvesant,Brooklyn,40.6837,-73.93007,Private room,2,127,4.83
52533829,f,Lower East Side,Manhattan,40.72104,-73.98768,Private room,8,1244,0.00
52533958,f,Lower East Side,Manhattan,40.71903,-73.98829,Private room,8,1201,0.00
52534048,f,Lower East Side,Manhattan,40.71893,-73.98877,Private room,4,961,0.00
52534080,f,Lower East Side,Manhattan,40.72087,-73.98836,Private room,4,952,0.00
52534089,f,Lower East Side,Manhattan,40.71934,-73.98721,Private room,4,952,0.00
52534194,f,Lower East Side,Manhattan,40.71897,-73.98823,Private room,4,992,0.00
52534237,f,Lower East Side,Manhattan,40.71894,-73.9886,Private room,4,1001,0.00
52534281,f,Chelsea,Manhattan,40.75092,-73.99803,Private room,2,89,4.93
52534282,f,Lower East Side,Manhattan,40.71909,-73.98873,Private room,4,1001,0.00
52534373,f,Lower East Side,Manhattan,40.72021,-73.98714,Private room,2,460,4.00
52534465,f,Rosedale,Queens,40.66112,-73.73009,Entire home/apt,4,110,4.71
52534513,f,Lower East Side,Manhattan,40.71883,-73.98688,Private room,2,582,0.00
52534523,f,Lower East Side,Manhattan,40.71899,-73.98837,Private room,2,582,0.00
52534533,f,Lower East Side,Manhattan,40.72064,-73.98724,Private room,2,582,0.00
52534605,f,Lower East Side,Manhattan,40.72085,-73.98895,Private room,4,627,5.00
52534620,f,Lower East Side,Manhattan,40.72051,-73.98871,Private room,4,601,0.00
52534652,f,Lower East Side,Manhattan,40.72064,-73.98909,Private room,4,569,0.00
52534722,t,Lower East Side,Manhattan,40.71978,-73.98164,Entire home/apt,2,225,4.86
52534815,f,Chelsea,Manhattan,40.7494,-73.99601,Private room,2,83,4.79
52534882,f,Upper East Side,Manhattan,40.78048,-73.95384,Entire home/apt,2,125,5.00
52534962,t,Jamaica,Queens,40.70011,-73.79401,Entire home/apt,2,85,4.40
52535027,f,Sunset Park,Brooklyn,40.64564,-74.01864,Entire home/apt,6,157,4.45
52535759,f,Upper East Side,Manhattan,40.76835,-73.9596,Entire home/apt,2,290,0.00
52536476,f,Midtown,Manhattan,40.75407,-73.96937,Private room,1,53,0.00
52538938,f,Kips Bay,Manhattan,40.73861,-73.97782,Entire home/apt,2,170,4.88
52544742,f,Williamsburg,Brooklyn,40.70701,-73.95095,Private room,1,65,5.00
52545450,t,Sunset Park,Brooklyn,40.66057,-73.99321,Entire home/apt,2,225,4.75
52548658,f,Bedford-Stuyvesant,Brooklyn,40.6951,-73.94353,Entire home/apt,2,110,4.50
52548865,f,East Harlem,Manhattan,40.79431,-73.94499,Private room,2,120,5.00
52549681,f,Lower East Side,Manhattan,40.72085,-73.98889,Private room,2,500,5.00
52549974,t,Upper West Side,Manhattan,40.79957,-73.96581,Private room,2,195,4.75
52551120,f,Lower East Side,Manhattan,40.72107,-73.99284,Entire home/apt,2,160,5.00
52551302,t,Flatiron District,Manhattan,40.74146,-73.98377,Entire home/apt,4,279,4.83
52551413,f,Midtown,Manhattan,40.7586,-73.96666,Entire home/apt,2,151,4.88
52551893,f,Midtown,Manhattan,40.76222,-73.97535,Entire home/apt,2,152,4.83
52551903,f,Midtown,Manhattan,40.76333,-73.97552,Entire home/apt,2,181,4.89
