host_is_superhost,neighborhood,borough,room_type,accommodates,price,review_scores_location,review_scores_rating
f,East Elmhurst,Queens,Entire home/apt,4,135,5.00,4.00
f,Longwood,Bronx,Entire home/apt,1,59,4.56,4.67
t,South Ozone Park,Queens,Private room,2,68,4.82,4.91
t,Howard Beach,Queens,Private room,2,99,5.00,5.00
t,College Point,Queens,Entire home/apt,4,189,4.91,4.96
f,Clifton,Staten Island,Private room,5,300,0.00,0.00
f,Sheepshead Bay,Brooklyn,Private room,2,60,4.72,4.93
f,Stapleton,Staten Island,Private room,2,84,0.00,0.00
f,Bay Ridge,Brooklyn,Private room,2,160,3.00,5.00
f,Longwood,Bronx,Entire home/apt,4,115,0.00,0.00
t,Midwood,Brooklyn,Private room,1,28,0.00,0.00
f,South Ozone Park,Queens,Entire home/apt,5,299,4.00,5.00
f,South Ozone Park,Queens,Private room,2,68,0.00,0.00
f,Fort Hamilton,Brooklyn,Entire home/apt,4,157,0.00,0.00
t,Tompkinsville,Staten Island,Private room,2,47,4.62,4.88
f,Ridgewood,Queens,Private room,2,37,0.00,0.00
f,Jamaica,Queens,Private room,2,51,4.56,4.33
f,Hollis,Queens,Private room,2,88,5.00,5.00
t,Hollis,Queens,Private room,2,150,5.00,5.00
f,Red Hook,Brooklyn,Entire home/apt,4,155,4.75,4.47
f,Longwood,Bronx,Entire home/apt,6,175,3.20,3.80
f,Midwood,Brooklyn,Private room,2,70,4.79,4.83
f,Ditmars Steinway,Queens,Entire home/apt,3,46,4.74,4.71
f,Jamaica,Queens,Private room,2,52,4.33,3.33
f,Jamaica,Queens,Private room,2,51,3.57,3.14
f,Ditmars Steinway,Queens,Entire home/apt,3,70,0.00,0.00
f,Fort Hamilton,Brooklyn,Entire home/apt,4,79,0.00,0.00
f,Belmont,Bronx,Private room,1,49,4.35,4.65
t,Ozone Park,Queens,Entire home/apt,3,99,4.76,4.78
t,Springfield Gardens,Queens,Private room,2,35,4.40,4.57
f,Ridgewood,Queens,Private room,2,37,0.00,0.00
f,Bay Ridge,Brooklyn,Entire home/apt,5,154,4.92,4.94
t,Midwood,Brooklyn,Entire home/apt,2,83,4.50,4.67
t,Sunset Park,Brooklyn,Entire home/apt,16,166,4.82,4.88
f,Fordham,Bronx,Private room,2,80,0.00,0.00
t,Fort Hamilton,Brooklyn,Entire home/apt,2,139,4.70,4.90
f,Clifton,Staten Island,Entire home/apt,2,69,4.47,4.24
t,Forest Hills,Queens,Entire home/apt,8,134,4.57,4.64
f,St. George,Staten Island,Private room,2,70,4.53,4.81
f,West Farms,Bronx,Private room,2,99,0.00,0.00
f,Sheepshead Bay,Brooklyn,Private room,1,92,0.00,0.00
t,Tompkinsville,Staten Island,Entire home/apt,6,179,4.71,4.69
f,Tremont,Bronx,Private room,2,120,4.00,4.00
t,Forest Hills,Queens,Entire home/apt,2,179,4.80,5.00
f,Flatlands,Brooklyn,Private room,1,55,5.00,5.00
t,Jamaica,Queens,Private room,2,53,4.30,4.30
f,Longwood,Bronx,Private room,1,150,0.00,0.00
t,Midwood,Brooklyn,Entire home/apt,2,125,4.90,4.80
f,Sheepshead Bay,Brooklyn,Private room,1,99,0.00,0.00
f,Mill Basin,Brooklyn,Entire home/apt,4,444,0.00,0.00
f,Wakefield,Bronx,Private room,1,75,0.00,0.00
f,Wakefield,Bronx,Private room,3,152,0.00,0.00
t,Belmont,Bronx,Private room,2,45,4.86,4.90
f,Flatlands,Brooklyn,Private room,1,70,0.00,0.00
f,Fordham,Bronx,Private room,2,43,4.22,4.28
f,Forest Hills,Queens,Entire home/apt,1,64,0.00,0.00
f,Kingsbridge,Bronx,Private room,3,74,0.00,0.00
f,Washington Heights,Manhattan,Entire home/apt,3,70,0.00,0.00
f,Woodhaven,Queens,Private room,2,46,4.58,4.62
f,Ozone Park,Queens,Private room,4,90,5.00,5.00
f,Flatlands,Brooklyn,Private room,4,82,0.00,0.00
f,Flatlands,Brooklyn,Private room,1,70,0.00,0.00
f,Elmhurst,Queens,Private room,1,70,4.90,4.60
f,Bay Ridge,Brooklyn,Entire home/apt,14,217,4.82,4.82
t,Midwood,Brooklyn,Private room,2,66,4.80,4.95
f,Fordham,Bronx,Private room,5,93,0.00,0.00
f,Springfield Gardens,Queens,Entire home/apt,4,150,5.00,5.00
f,Sunset Park,Brooklyn,Entire home/apt,8,164,4.29,4.50
t,Longwood,Bronx,Private room,2,60,4.50,5.00
f,Claremont Village,Bronx,Private room,2,72,4.39,4.52
f,Arrochar,Staten Island,Private room,2,350,4.92,4.92
f,Woodhaven,Queens,Entire home/apt,2,67,4.79,4.66
f,Olinville,Bronx,Private room,3,60,4.89,4.67
f,Woodhaven,Queens,Private room,1,43,4.88,5.00
f,East New York,Brooklyn,Private room,2,64,5.00,4.75
f,Belmont,Bronx,Private room,3,120,0.00,0.00
f,Sheepshead Bay,Brooklyn,Entire home/apt,1,135,0.00,0.00
f,Mount Hope,Bronx,Private room,2,60,4.44,4.59
f,Edenwald,Bronx,Private room,2,56,0.00,0.00
f,Sheepshead Bay,Brooklyn,Entire home/apt,1,145,0.00,0.00
f,Borough Park,Brooklyn,Entire home/apt,6,219,4.50,4.75
f,Williamsbridge,Bronx,Private room,2,50,4.00,4.29
f,Jamaica,Queens,Private room,2,78,4.64,4.72
f,New Brighton,Staten Island,Entire home/apt,5,1200,0.00,0.00
f,Wakefield,Bronx,Entire home/apt,2,69,4.81,5.00
f,Richmond Hill,Queens,Private room,2,56,0.00,0.00
f,Baychester,Bronx,Private room,2,62,4.62,4.54
f,Woodhaven,Queens,Entire home/apt,4,96,4.33,4.17
f,Williamsburg,Brooklyn,Private room,2,89,5.00,5.00
t,Astoria,Queens,Private room,1,58,4.55,4.85
t,Elmhurst,Queens,Shared room,2,93,5.00,5.00
f,Springfield Gardens,Queens,Entire home/apt,4,90,0.00,0.00
f,Wakefield,Bronx,Entire home/apt,2,103,4.32,4.16
f,Springfield Gardens,Queens,Entire home/apt,5,130,4.45,4.42
f,Wakefield,Bronx,Entire home/apt,2,104,0.00,0.00
f,Astoria,Queens,Private room,2,55,4.80,4.57
f,Ozone Park,Queens,Entire home/apt,4,145,4.73,4.82
f,Williamsbridge,Bronx,Entire home/apt,2,101,5.00,5.00
f,Jamaica,Queens,Private room,2,57,4.55,4.73
f,Belmont,Bronx,Entire home/apt,4,120,0.00,0.00
f,Williamsburg,Brooklyn,Private room,2,49,5.00,5.00
f,Springfield Gardens,Queens,Entire home/apt,6,136,4.55,4.82
f,Jamaica,Queens,Private room,1,34,0.00,0.00
f,Springfield Gardens,Queens,Entire home/apt,6,250,0.00,0.00
f,Williamsburg,Brooklyn,Private room,2,300,4.93,4.96
t,Jamaica,Queens,Entire home/apt,6,130,4.52,4.77
f,Unionport,Bronx,Private room,2,120,4.00,4.00
f,Schuylerville,Bronx,Private room,2,56,5.00,4.70
f,Pelham Bay,Bronx,Private room,2,51,3.38,3.50
t,Kew Gardens,Queens,Private room,1,45,4.89,4.61
t,Williamsburg,Brooklyn,Private room,1,60,0.00,0.00
t,Flushing,Queens,Entire home/apt,5,175,4.91,5.00
f,Jamaica,Queens,Entire home/apt,5,155,4.80,4.80
t,Jamaica Estates,Queens,Private room,1,49,5.00,5.00
f,Ozone Park,Queens,Entire home/apt,2,150,0.00,0.00
f,Jamaica,Queens,Private room,2,50,4.34,4.45
t,Flushing,Queens,Private room,1,67,4.71,4.85
f,Morris Park,Bronx,Private room,1,155,0.00,0.00
t,Inwood,Manhattan,Private room,2,82,4.68,4.80
f,Flushing,Queens,Private room,2,100,4.40,4.40
f,Springfield Gardens,Queens,Entire home/apt,8,300,5.00,5.00
f,Flushing,Queens,Private room,2,56,4.68,4.71
t,Flushing,Queens,Private room,3,110,4.69,4.88
f,St. Albans,Queens,Private room,2,93,5.00,4.67
f,Mott Haven,Bronx,Private room,2,69,1.00,1.00
f,Maspeth,Queens,Entire home/apt,4,141,5.00,5.00
f,Flushing,Queens,Entire home/apt,6,220,4.44,4.56
f,Jamaica,Queens,Private room,2,60,4.17,4.33
f,Flushing,Queens,Private room,2,52,5.00,5.00
f,Williamsburg,Brooklyn,Entire home/apt,2,172,4.78,4.89
f,Ozone Park,Queens,Entire home/apt,5,299,0.00,0.00
f,Kingsbridge,Bronx,Private room,1,45,4.67,4.67
f,Inwood,Manhattan,Private room,2,31,0.00,0.00
f,Schuylerville,Bronx,Entire home/apt,4,144,4.81,4.75
t,Williamsbridge,Bronx,Entire home/apt,8,200,5.00,5.00
f,St. Albans,Queens,Entire home/apt,4,63,4.49,4.46
f,Unionport,Bronx,Entire home/apt,7,219,4.67,4.33
f,Richmond Hill,Queens,Entire home/apt,6,180,5.00,5.00
f,Flushing,Queens,Private room,2,43,4.54,4.51
f,Ridgewood,Queens,Entire home/apt,3,99,4.76,4.81
f,Unionport,Bronx,Entire home/apt,2,93,4.60,4.65
f,Jamaica,Queens,Private room,2,74,0.00,0.00
f,Westchester Square,Bronx,Entire home/apt,2,90,4.76,4.76
t,Schuylerville,Bronx,Entire home/apt,4,120,4.95,5.00
f,Mott Haven,Bronx,Private room,2,35,4.00,5.00
t,Jamaica,Queens,Entire home/apt,5,103,4.54,4.88
t,Ridgewood,Queens,Entire home/apt,2,91,4.92,4.92
f,Jamaica,Queens,Private room,2,95,4.40,4.20
f,Williamsbridge,Bronx,Private room,2,45,0.00,0.00
f,Flushing,Queens,Private room,2,70,4.74,4.71
f,Port Morris,Bronx,Private room,1,86,4.54,4.54
t,Flushing,Queens,Private room,2,83,0.00,0.00
f,Jamaica,Queens,Private room,2,66,0.00,0.00
f,Kew Gardens Hills,Queens,Private room,1,129,0.00,0.00
t,Van Nest,Bronx,Entire home/apt,2,119,4.64,4.80
f,Fordham,Bronx,Private room,2,49,4.48,4.54
f,Kew Gardens,Queens,Private room,2,209,4.50,5.00
f,Flushing,Queens,Entire home/apt,6,225,4.75,5.00
f,Jamaica,Queens,Private room,2,342,0.00,0.00
0,Mott Haven,Bronx,Hotel room,4,0,0.00,0.00
t,Jamaica,Queens,Entire home/apt,6,160,4.56,4.78
t,Jamaica Estates,Queens,Private room,1,48,5.00,5.00
f,Flushing,Queens,Private room,2,60,4.50,4.50
t,Flushing,Queens,Private room,2,94,4.65,4.71
f,Kew Gardens Hills,Queens,Private room,1,700,5.00,5.00
f,Flushing,Queens,Private room,2,81,4.50,4.80
f,Greenpoint,Brooklyn,Entire home/apt,5,179,4.59,4.78
f,Williamsburg,Brooklyn,Entire home/apt,4,150,4.38,4.54
t,Allerton,Bronx,Private room,2,40,4.61,4.33
t,Mott Haven,Bronx,Entire home/apt,6,200,4.40,4.87
f,Morris Park,Bronx,Private room,2,78,4.95,4.84
f,Briarwood,Queens,Private room,2,75,4.83,4.54
f,Jamaica,Queens,Entire home/apt,2,107,0.00,0.00
f,Williamsbridge,Bronx,Private room,1,50,0.00,0.00
f,Jamaica,Queens,Private room,1,147,0.00,0.00
f,Morris Park,Bronx,Entire home/apt,2,83,4.00,5.00
f,St. Albans,Queens,Private room,2,80,0.00,0.00
f,Williamsbridge,Bronx,Shared room,2,80,0.00,0.00
t,Pelham Gardens,Bronx,Private room,1,37,4.67,5.00
t,St. Albans,Queens,Private room,4,155,0.00,0.00
f,St. Albans,Queens,Private room,2,93,0.00,0.00
f,Wakefield,Bronx,Shared room,2,300,0.00,0.00
f,Jamaica,Queens,Private room,4,147,0.00,0.00
f,Flushing,Queens,Private room,2,50,4.52,4.68
t,St. Albans,Queens,Entire home/apt,2,87,4.67,4.83
