id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,price,number_of_reviews,review_scores_location
25887684,Jamaica Estates,Queens,40.71258,-73.78952,4,4,91,26,4.81
25887818,East Harlem,Manhattan,40.79456,-73.94354,4,2,160,9,4.22
25887913,Bushwick,Brooklyn,40.68926,-73.90803,3,2,46,127,4.68
25892653,Bushwick,Brooklyn,40.68869,-73.9091,4,3,85,6,5
25892765,Schuylerville,Bronx,40.84143,-73.82566,4,2,92,7,5
25895132,Morningside Heights,Manhattan,40.81453,-73.96016,3,2,76,22,4.95
25904988,Bedford-Stuyvesant,Brooklyn,40.68282,-73.92604,4,4,275,2,0
25905070,Upper East Side,Manhattan,40.78138789,-73.94856713,4,2,240,0,0
25905991,Forest Hills,Queens,40.72005,-73.85377,4,7,325,9,5
25909160,Belmont,Bronx,40.85612,-73.88255,3,1,20,9,4.25
25909161,Upper East Side,Manhattan,40.76922,-73.95263,1,2,71,37,5
25911322,Gowanus,Brooklyn,40.67226,-73.99271,4,2,89,20,4.75
25912647,Midtown,Manhattan,40.75545,-73.96402,3,1,140,4,5
25914515,Ridgewood,Queens,40.7088,-73.9147,3,2,55,1,5
25917853,Prospect-Lefferts Gardens,Brooklyn,40.66156,-73.95902,4,4,109,86,4.92
25938492,East Harlem,Manhattan,40.78966,-73.94649,3,2,80,45,4.76
25940097,Harlem,Manhattan,40.80752,-73.95279,4,8,1200,20,4.85
25943177,Sunnyside,Queens,40.73498,-73.91854,3,2,90,52,4.85
25943635,Astoria,Queens,40.76543,-73.91657,3,1,60,0,0
25944038,Upper East Side,Manhattan,40.76121,-73.95962,3,1,70,11,5
25946015,West Village,Manhattan,40.73294,-74.00321,4,2,179,3,5
25946142,Forest Hills,Queens,40.7243,-73.8474,4,4,130,0,0
25947689,Bushwick,Brooklyn,40.69808,-73.92776,4,16,500,15,4.6
25947972,Rockaway Park,Queens,40.58291,-73.82159,4,6,273,141,4.92
25948225,Bushwick,Brooklyn,40.69203,-73.91574,3,2,60,2,4
25948697,Sheepshead Bay,Brooklyn,40.60054,-73.94412,3,3,71,0,0
25949359,Midwood,Brooklyn,40.61618,-73.94523,4,2,99,2,4
25961778,East Flatbush,Brooklyn,40.65145,-73.94476,4,6,120,0,0
25963570,Bedford-Stuyvesant,Brooklyn,40.68966,-73.94624,4,4,125,266,4.76
25967331,Washington Heights,Manhattan,40.84963,-73.93758,3,2,60,8,5
25970374,Upper East Side,Manhattan,40.769516,-73.956444,4,2,186,18,4.83
25971027,Kips Bay,Manhattan,40.74455,-73.97955,4,1,90,2,5
25972171,Washington Heights,Manhattan,40.84594,-73.94244,3,2,80,1,0
25972861,Kew Gardens Hills,Queens,40.72388,-73.81677,4,2,95,174,4.75
25974812,Bushwick,Brooklyn,40.68765,-73.90816,3,2,95,94,4.78
25979705,SoHo,Manhattan,40.72668,-74.00484,3,2,268,44,5
25980294,Upper East Side,Manhattan,40.76953,-73.95466,4,2,200,30,4.93
