id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,price,number_of_reviews,review_scores_location
4891701,Harlem,Manhattan,40.82063,-73.95613,Entire home/apt,4,192,6,4.50
4897673,Sunnyside,Queens,40.74384,-73.92114,Private room,1,50,2,0.00
4901269,Brooklyn Heights,Brooklyn,40.69287,-73.99504,Entire home/apt,2,200,6,5.00
4901617,Greenwich Village,Manhattan,40.72895,-74.001,Entire home/apt,4,175,4,5.00
4902025,Bedford-Stuyvesant,Brooklyn,40.68998,-73.95465,Private room,2,75,0,0.00
4904582,Mount Hope,Bronx,40.84972,-73.90408,Private room,2,40,5,4.20
4906961,Williamsburg,Brooklyn,40.7088,-73.96547,Entire home/apt,2,145,38,4.81
4907206,Hell's Kitchen,Manhattan,40.7597,-73.99163,Private room,2,225,0,0.00
4907749,Crown Heights,Brooklyn,40.6722,-73.94544,Private room,2,75,0,0.00
4908331,Harlem,Manhattan,40.80586,-73.9516,Entire home/apt,4,300,22,4.91
4909438,East Village,Manhattan,40.73053,-73.98279,Entire home/apt,2,175,1,5.00
4914545,Bedford-Stuyvesant,Brooklyn,40.683,-73.93635,Entire home/apt,4,129,25,4.60
4916340,Upper West Side,Manhattan,40.78378,-73.97624,Entire home/apt,5,170,235,4.96
4917122,Williamsburg,Brooklyn,40.71322,-73.96551,Entire home/apt,2,165,4,5.00
4917217,Crown Heights,Brooklyn,40.67642,-73.95593,Private room,2,55,0,0.00
4919875,Upper West Side,Manhattan,40.79505,-73.9964,Entire home/apt,5,181,224,4.83
4920338,Upper East Side,Manhattan,40.76402,-73.95916,Entire home/apt,2,310,0,0.00
4920448,Upper West Side,Manhattan,40.7855,-73.9745,Entire home/apt,2,310,0,0.00
4920489,Midtown,Manhattan,40.75976,-73.96447,Entire home/apt,2,330,0,0.00
4920912,Chelsea,Manhattan,40.74304,-73.9984,Entire home/apt,2,175,0,0.00
4925368,Bedford-Stuyvesant,Brooklyn,40.68751,-73.922,Private room,2,67,61,4.46
4925517,Hell's Kitchen,Manhattan,40.7629,-73.98857,Private room,2,138,375,4.93
4927853,Bedford-Stuyvesant,Brooklyn,40.6891,-73.92347,Private room,2,63,70,4.60
4927910,Bedford-Stuyvesant,Brooklyn,40.68767,-73.92283,Private room,2,62,17,4.59
4928303,Crown Heights,Brooklyn,40.67395,-73.95107,Private room,1,80,99,4.66
4930306,Chelsea,Manhattan,40.74141,-73.99996,Entire home/apt,2,175,1,5.00
4930951,Greenwich Village,Manhattan,40.72915,-74.00083,Private room,2,60,0,0.00
4931807,East Harlem,Manhattan,40.79485,-73.93499,Entire home/apt,2,132,7,4.50
4932139,Nolita,Manhattan,40.7226,-73.99644,Entire home/apt,4,150,163,4.97
4932714,Bedford-Stuyvesant,Brooklyn,40.67755,-73.92625,Private room,2,48,16,4.06
4936254,Lower East Side,Manhattan,40.7191,-73.9834,Entire home/apt,4,337,69,4.81
4937135,Harlem,Manhattan,40.81864,-73.93819,Entire home/apt,4,85,6,4.83
4941141,Upper East Side,Manhattan,40.78118,-73.94861,Entire home/apt,2,155,9,4.22
4941771,Crown Heights,Brooklyn,40.67314,-73.96278,Entire home/apt,2,98,34,4.90
4942985,Harlem,Manhattan,40.80607,-73.94805,Entire home/apt,1,115,0,0.00
4947515,Greenpoint,Brooklyn,40.73283,-73.95617,Entire home/apt,2,234,59,4.93
4948928,Hell's Kitchen,Manhattan,40.76555,-73.9945,Entire home/apt,2,80,5,4.50
